0,1,2,3,4
poor quality ,1.0, 30 Dec. 2013 ," By
    
    mr james hall
  
 on 30 Dec. 2013 ", they cant withstand the weather the hooks break off and the socks get lost this happened on the 2 ibought then on the 2 replacements my caravan now has no socks on but thanks for the refund 
bought for my three young grandchildren ,1.0, 23 Sept. 2013 ," By
    
    john stackhouse
  
 on 23 Sept. 2013 "," bought a couple of months ago.  Looked for a straight forward simple kite for the grandchildren.looking to just let it go and up it goes  !!  Still trying to get it off the ground.Also bought mini flyers dog and cat, had same end results.Kite size is what I expected but it just will not fly.  It has such a long tail on it. And seems to be too long and therefore a little heavy for such a small kite. "
One Star ,1.0, 3 May 2015 ," By
    
    Maria R.
  
 on 3 May 2015 ", Advertises has having eyelets but came without them so I cant hang this from my flag pole. 
Shocking! ,1.0, 7 Jan. 2014 ," By
    
    R. ladoventoso
  
 on 7 Jan. 2014 "," I bought this for my 5 year old for Christmas as he loves Tom and Jerry!, Imagine my horror after he has unwrapped it and opened it to find that the thing has been cut out all wrong! it has effectively been manufactured broken!, nothing but a waste of money!, i will NEVER buy a Trefl product again! "
Disappointing - poor after sales response ,1.0, 22 Sept. 2013 ," By
    
    Dr P E Cropper
  
 on 22 Sept. 2013 "," I cannot fault the jigsaw's construction but when I came to complete jigsaw one piece was missing. I can cope with that happening, but not the poor quality of the customer services department. No reply to 3 emails (you cannot phone them directly). First time I have bought a jigsaw in 40 years, might buy another one, but will not be buying another Ravensburger one!! "
Extra pieces and a missing piece! Not good! ,1.0, 24 Dec. 2015 ," By
    
    aeshaw91
  
 on 24 Dec. 2015 "," Arrived quickly.....however, when we opened it there were 5 corners! And then when we finished it we realised that there was a edge piece missing, and 5 duplicates! Not impressed really. Such a shame when it is a nice jigsaw. Ruined it for us. 😔 "
The cab does not attach adequately to the lorry ,1.0, 1 Nov. 2015 ," By
    
    jenny
  
 on 1 Nov. 2015 "," This was bought for a three year old. Having decided against the Eddie Stobart because of reviews saying that the cab does not stay attached to the lorry, I trawled through all the other reviews to find one that did. Sadly, tow bar to the cab of this lorry is woefully inadequate and will only stay in place when stationary. Very disappointing and useless as a toy. "
"These new ""improved"" engines are pretty poor. Yes ",1.0, 17 July 2014 ," By
    
    P. Foxton
  
 on 17 July 2014 "," These new ""improved"" engines are pretty poor. Yes, they are faster, but due to the changed drive wheels - the tread is more spaced out, formed of little spikes - the new engines can't pull many carriages. Worse, they can't go over the flexi track or the straight pieces of track designed to be used in stations. There just isn't enough friction between the new wheels and those types of track since the surface of the track is smoother. Gordon does work fine on the standard track, but my son always uses flexi track and stations in the tracks he builds.I have a very disappointed 4 year old (he'd been saving his stickers for a while to get Gordon) and would advise against buying any of these new engines. We won't be getting any more until/unless the design fault is rectified. "
Rubbish ,1.0, 25 Dec. 2015 ," By
    
    Lara Howarth
  
 on 25 Dec. 2015 "," Not happy atal my son was so excited to recieve this train on Christmas and it did not work atal my partner took neally an hour to fix this, this is completely unacceptable to buy something brand new and to not work on Christmas Day of all days. This is the 3rd new design trackmaster that hasn't worked these new designs and crap compared to the old style trackmaster. "
Now the new model of James unfortunately! ,1.0, 4 Sept. 2014 ," By
    
    ingrid
  
 on 4 Sept. 2014 "," This is no longer the older model of James - I received this today and it is the new model of James (produced in 2013). Luckily I realised before I unpacked it, so was able to send it back. I have the 2013 model of Percy, which doesn't work on Brio tracks so definitely don't get this if you are planning to use this on Brio tracks. "
Very disappointed with this trailer when on Xmas day as my ... ,1.0, 29 Dec. 2015 ," By
    
    michael p d fellows
  
 on 29 Dec. 2015 ", Very disappointed with this trailer when on Xmas day as my 6yr old Grandson removed it from its packaging and unfolded the 2 spraying arms they proved so flimsy that one completely snapped at the hinge. He was devastated . Could do with receiving a replacement spraying arm 
Disappointed with the size and the belt that has a ... ,1.0, 30 Oct. 2015 ," By
    
    Jen
  
 on 30 Oct. 2015 ", Disappointed with the size and the belt that has a button on which you press to activate the voices broke within minutes 
Buyer Beware! ,1.0, 14 Jun. 2015 ," By
    
    Daniel Holmes
  
 on 14 Jun. 2015 "," I purchased a number of these when they were reduced at at local supermarket. Nearly all of them are now broken. The basic skeleton parts are made from quite a rigid plastic and the ends that clip, are easily broken. The problem appears to be that the ball end joints are quite stiff and difficult to move. When these parts are forced it tranfers the load onto the rigid plastic clip end of the joint causing them to fracture and break.  My son isn't rough with his toys, he usually keeps them toys in their robot form and just uses them as dolls which he wants me to 'make them talk' for him. When he wants them to be transformed he gets me to do it so I know that none of the toys have been forced. These toys are just made from a material that is just not fit for use and Hasbro should not have released a toy that is broken so easily. I have tried to contact hasbro to get replacement parts which I would have been happy to pay for if necessary, just so my son can play with them again. As yet I have had no responce. "
89 for postage and packing not happy with postage charges it to much ,1.0, 29 Nov. 2014 ," By
    
    Emma Adam
  
 on 29 Nov. 2014 "," I buy 3 mini figure which cost £16.50 and cost me £13.89 for postage and packing not happy with postage charges it to much, not recommend to anyone! "
Missing bricks ,1.0, 19 Jan. 2015 ," By
    
    MR D J MASON
  
 on 19 Jan. 2015 "," Very disappointed with this purchase, turned up with a missing piece, had a disappointed 5 year old to deal with... "
About as big as the on screen picture ,1.0, 11 Jan. 2014 ," By
    
    Kerrymac
  
 on 11 Jan. 2014 ", I was very disappointed when this bag arrived. I ordered it for my niece for Christmas and from the picture and descriptions I thought this bag would be great. It was described as having pockets inside for instruments but there are no pockets and you would struggle to fit much in it anyway!. I should of checked the dimensions provided but the bag really is small and flimsy. It was not worth the money I paid. I kept it anyway as it was an extra pressie for my niece. She liked it but I would not of bought this if I had realised how naff it was! 
Very disappointed. ,1.0, 21 Nov. 2014 ," By
    
    Agata Tobin
  
 on 21 Nov. 2014 "," Not what I expected. The description says product dimentions are: 16cm, 10cm, 3cm. Hmmm... It's the dimentions of a PACKAGING. The helicopter is 7cm, 3cm, 2cm, so more than two times smaller than what I thought it would be. Very disappointed. "
One Star ,1.0, 26 Nov. 2015 ," By
    
    miss s l scott
  
 on 26 Nov. 2015 ", Broken on arrival 
One Star ,1.0, 10 Dec. 2014 ," By
    
    Emma B.
  
 on 10 Dec. 2014 ", What about information on how to use this very poor product 
Okay but that's all ,1.0, 11 July 2011 ," By
    
    H. Vincent
  
 on 11 July 2011 "," I was a little disappointed with this CD. It only comes in a cardboard sleeve and only consists of 6 tracks, 2 of which are instrumental. Not exactly a 'party' cd but a few tracks for one. "
Very poor quality toy ,1.0, 1 Jan. 2015 ," By
    
    DLTAG
  
 on 1 Jan. 2015 "," Very poor quality toy, very flimsy and might as well be made of paper. The sails are tied on with a little piece of string and do not stay on and its made of very cheap plastic. Save your money and dont buy. My kids got it for Christmas and its only good for the rubbish bin now. "
Damaged domino ,1.0, 29 July 2014 ," By
    
    Ms. S. Johnson
  
 on 29 July 2014 ", Unfortunately one of the dominoes in the box was really badly damaged so it had to be sent back. My parents also have this game and several of their dominoes are marked too. It's a real shame as this is a great game but the quality of the product is not brilliant. 
disappointed ,1.0, 30 April 2010 ," By
    
    bearsie
  
 on 30 April 2010 ", I usually love orchard games. I have several and they are great fun. But very disappointed with this one. The title implies it helps with telling the time but it doesn't. In schools time is taught via the quarter and half hour and most importantly o'clock. This game however refers to 7.00am or 8.30pm which is completely different. It's also possible to play the game without any reference to telling the time by just matching the picture on the card to the picture on the board so children don't have to tell the time at all and it becomes just a normal lotto game. It would be lovely to see a game which actually deals with telling the time in a way that children would learn. My bright five year old played this with me and is none the wiser about telling the time 
